Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0402",114.960400,-73.438000,0.000000,top
"C2","100nF","C_0402",87.477600,-50.495200,90.000000,top
"C3","100nF","C_0402",102.362000,-74.168000,90.000000,top
"C4","100nF","C_0402",103.987600,-74.160000,90.000000,top
"C5","100nF","C_0402",103.174800,-74.160000,90.000000,top
"C6","100nF","C_0402",101.549200,-74.176000,90.000000,top
"C7","100nF","C_0402",104.952800,-66.446400,-90.000000,top
"C8","1uF","C_0402",106.629200,-66.200400,-90.000000,top
"C9","100nF","C_0402",114.960400,-74.352400,0.000000,top
"C10","100nF","C_0402",93.319600,-69.850000,90.000000,top
"C11","100nF","C_0402",93.370400,-81.432400,90.000000,top
"C12","1uF","C_0402",126.390400,-64.770000,90.000000,top
"C13","10uF","C_0402",119.888000,-61.663200,-90.000000,top
"C14","100nF","C_0402",118.872000,-61.823600,-90.000000,top
"C15","1uF","C_0402",114.409600,-83.769200,0.000000,top
"C17","20pF","C_0402",96.418400,-79.062800,90.000000,top
"C18","20pF","C_0402",96.367600,-82.052000,-90.000000,top
"C19","12pF","C_0402",100.584000,-75.133200,90.000000,top
"C20","12pF","C_0402",100.584000,-77.012800,90.000000,top
"D1","SS33","D_SMA",108.915200,-67.919600,-90.000000,top
"D2","Red","D_0603",94.640400,-75.488800,90.000000,top
"D3","SS33","D_SMA",121.920000,-71.272400,180.000000,top
"D4","Yellow","D_0603",96.266000,-75.488800,90.000000,top
"J_BTN5","JST PH 2-pin 2mm","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",88.798400,-91.541600,0.000000,top
"J_BTN6","JST PH 2-pin 2mm","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",99.048400,-91.541600,0.000000,top
"J_BTN7","JST PH 2-pin 2mm","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",109.298400,-91.541600,0.000000,top
"J_BTN8","JST PH 2-pin 2mm","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",119.548400,-91.541600,0.000000,top
"J_IN2","JST PH 3-pin 2mm","JST_PH_B3B-PH-SM4-TB_1x03-1MP_P2.00mm_Vertical",88.993600,-69.037200,90.000000,top
"J_OUT2","JST PH 3-pin 2mm","JST_PH_B3B-PH-SM4-TB_1x03-1MP_P2.00mm_Vertical",89.044400,-80.518000,90.000000,top
"Q1","BSS138","Q_SOT-23",95.442400,-61.087200,-90.000000,top
"Q2","BSS138","Q_SOT-23",90.817400,-61.087200,-90.000000,top
"Q3","BSS138","Q_SOT-23",86.192400,-61.087200,-90.000000,top
"R8","20Ω","R_0603",116.179600,-77.368400,180.000000,top
"R23","20Ω","R_0603",116.178400,-78.923200,180.000000,top
"S1","Tactile Button, 160gf","SW_TS-1088-AR02016",114.452400,-86.004400,0.000000,top
"U1","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",107.645200,-78.943200,0.000000,top
"U2","U_REG LD1117S50TR_SOT223","SOT-223-3_TabPin2",114.604800,-68.510400,-90.000000,top
"U4","74LVC2G241","Zetex_SM8",99.263200,-68.834000,0.000000,top
"X2","X50328MSB2GI","CRYSTAL-SMD_L5.0-W3.2",98.704400,-80.619600,90.000000,top
"X3","Q13FC1350000400","FC-135R_L3.2-W1.5",99.110800,-75.407200,90.000000,top
