"Refs","Value","Footprint","Qty","Description","Mfr","MPN","LCSC"
"C1,C13","10uF","PCM_JLCPCB:C_0402","2","6.3V 10uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Samsung Electro-Mechanics","","C15525"
"C2-C7,C9-C11,C14","100nF","PCM_JLCPCB:C_0402","10","16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Samsung Electro-Mechanics","","C1525"
"C8,C12,C15","1uF","PCM_JLCPCB:C_0402","3","25V 1uF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Samsung Electro-Mechanics","","C52923"
"C17,C18","20pF","PCM_JLCPCB:C_0402","2","50V 20pF C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","FH(Guangdong Fenghua Advanced Tech)","","C1554"
"C19,C20","12pF","PCM_JLCPCB:C_0402","2","50V 12pF C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","FH(Guangdong Fenghua Advanced Tech)","","C1547"
"D1,D3","SS33","PCM_JLCPCB:D_SMA","2","30V Independent Type 3A 550mV@3A SMA Schottky Diodes ROHS","hongjiacheng","","C28646294"
"D2","Red","PCM_JLCPCB:D_0603","1","-40°C~+85°C Red 0603 LED Indication - Discrete ROHS","Hubei KENTO Elec","","C2286"
"D4","Yellow","PCM_JLCPCB:D_0603","1","25mA 100mcd~220mcd Colorless transparent lens 586nm~595nm -30°C~+85°C Yellow 130° 65mW 1.6V~2.6V 0603 LED Indication - Discrete ROHS","Foshan NationStar Optoelectronics","","C89811"
"J3,J4","Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","2","Generic connector, double row, 02x03, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"J5","Connector, USB-TYPE-C-16P","PCM_JLCPCB:TYPE-C-SMD_HX-TYPE-C-16PIN","1","3A 1 Horizontal attachment 16P Female -25℃~+85℃ Type-C SMD USB Connectors ROHS","","","C2927039"
"J_BTN5-J_BTN8","JST PH 2-pin 2mm","Connector_JST:JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal","4","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"J_IN2,J_OUT2","JST PH 3-pin 2mm","Connector_JST:JST_PH_B3B-PH-SM4-TB_1x03-1MP_P2.00mm_Vertical","2","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","","",""
"Q1-Q3","BSS138","PCM_JLCPCB:Q_SOT-23","3","50V 340mA 2.5Ω@10V,0.34A 350mW 1.6V@250uA 1PCSNChannel SOT-23 MOSFETs ROHS","hongjiacheng","","C7420339"
"R1,R9-R11,R16-R21","10kΩ","PCM_JLCPCB:R_0402","10","62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS","UNI-ROYAL(Uniroyal Elec)","","C25744"
"R2,R5","5.1kΩ","PCM_JLCPCB:R_0402","2","62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 5.1kΩ 0402 Chip Resistor - Surface Mount ROHS","UNI-ROYAL(Uniroyal Elec)","","C25905"
"R3","1MΩ","PCM_JLCPCB:R_0402","1","62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 1MΩ 0402 Chip Resistor - Surface Mount ROHS","UNI-ROYAL(Uniroyal Elec)","","C26083"
"R4,R22","330Ω","PCM_JLCPCB:R_0402","2","62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 330Ω 0402 Chip Resistor - Surface Mount ROHS","UNI-ROYAL(Uniroyal Elec)","","C25104"
"R6,R7","100kΩ","PCM_JLCPCB:R_0402","2","62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 100kΩ 0402 Chip Resistor - Surface Mount ROHS","UNI-ROYAL(Uniroyal Elec)","","C25741"
"R8,R23","20Ω","PCM_JLCPCB:R_0603","2","100mW Thick Film Resistors 75V ±100ppm/°C ±1% 20Ω 0603 Chip Resistor - Surface Mount ROHS","UNI-ROYAL(Uniroyal Elec)","","C22950"
"R14","4.7kΩ","PCM_JLCPCB:R_0402","1","62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 4.7kΩ 0402 Chip Resistor - Surface Mount ROHS","UNI-ROYAL(Uniroyal Elec)","","C25900"
"S1","Tactile Button, 160gf","PCM_JLCPCB:SW_TS-1088-AR02016","1","Without 50mA 4mm 100MΩ 100000 Times 12V 160gf 3mm 2mm Round Button Standing paste SPST SMD Tactile Switches ROHS","XUNPU","","C720477"
"U1","STM32F103C8T6","PCM_JLCPCB:LQFP-48_7x7mm_P0.5mm","1","32Bit, 72MHz, 64KB Flash, 20KB RAM, 2.0-3.6V","STMicroelectronics","","C8734"
"U2","U_REG LD1117S50TR_SOT223","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1","800mA Fixed Low Drop Positive Voltage Regulator, Fixed Output 5.0V, SOT-223","","",""
"U3","AMS1117","PCM_JLCPCB:SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR","1","72dB@(120Hz) 1A Fixed 3.3V Positive electrode SOT-223 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS","Advanced Monolithic Systems","","C6186"
"U4","74LVC2G241","Package_SO:VSSOP-8_3x3mm_P0.65mm","1","Dual Buffer Tri-State, Low-Voltage CMOS","","",""
"X2","X50328MSB2GI","PCM_JLCPCB:CRYSTAL-SMD_L5.0-W3.2","1","8MHz Surface Mount Crystal 20pF ±10ppm ±20ppm SMD5032 Crystals ROHS","Yangxing Tech","","C115962"
"X3","Q13FC1350000400","PCM_JLCPCB:FC-135R_L3.2-W1.5","1","32.768kHz Surface Mount Crystal 12.5pF ±20ppm SMD3215-2P Crystals ROHS","Seiko Epson","","C32346"
